0,1,2,3,4,5,6,7
ATL,NE,Sun,PRIME,9,NBC,0,0
ATL,NE,Thu,PRIME,1,NBC,0,0
ATL,NE,Thu,PRIME,12,NBC,0,0
ATL,NO,Mon,PRIME,1,ESPN,0,0
ATL,NO,Mon,PRIME,10,ESPN,0,0
ATL,NO,Mon,PRIME,11,ESPN,0,0
ATL,NO,Mon,PRIME,12,ESPN,0,0
ATL,NO,Mon,PRIME,13,ESPN,0,1
ATL,NO,Mon,PRIME,14,ESPN,0,1
ATL,NO,Mon,PRIME,15,ESPN,0,1
ATL,NO,Mon,PRIME,16,ESPN,0,0
ATL,NO,Mon,PRIME,2,ESPN,0,0
ATL,NO,Mon,PRIME,3,ESPN,0,0
ATL,NO,Mon,PRIME,4,ESPN,0,0
ATL,NO,Mon,PRIME,5,ESPN,0,0
ATL,NO,Mon,PRIME,6,ESPN,0,1
ATL,NO,Mon,PRIME,7,ESPN,0,1
ATL,NO,Mon,PRIME,8,ESPN,0,1
ATL,NO,Mon,PRIME,9,ESPN,0,1
ATL,NO,Thu,PRIME,1,NFL,0,0
ATL,NO,Thu,PRIME,10,NFL,0,0
ATL,NO,Thu,PRIME,11,NFL,0,1
ATL,NO,Thu,PRIME,12,NFL,0,0
ATL,NO,Thu,PRIME,13,NFL,0,0
ATL,NO,Thu,PRIME,14,NFL,0,0
ATL,NO,Thu,PRIME,15,NFL,0,0
ATL,NO,Thu,PRIME,16,NFL,0,0
ATL,NO,Thu,PRIME,2,NFL,0,0
ATL,NO,Thu,PRIME,3,NFL,0,0
ATL,NO,Thu,PRIME,4,NFL,0,0
ATL,NO,Thu,PRIME,5,NFL,0,0
ATL,NO,Thu,PRIME,6,NFL,0,0
ATL,NO,Thu,PRIME,7,NFL,0,0
ATL,NO,Thu,PRIME,8,NFL,0,0
ATL,NO,Thu,PRIME,9,NFL,0,0
ATL,NYJ,Mon,PRIME,1,ESPN,0,0
ATL,NYJ,Mon,PRIME,10,ESPN,0,0
ATL,NYJ,Mon,PRIME,11,ESPN,0,0
ATL,NYJ,Mon,PRIME,12,ESPN,0,0
ATL,NYJ,Mon,PRIME,13,ESPN,0,0
ATL,NYJ,Mon,PRIME,14,ESPN,0,0
ATL,NYJ,Mon,PRIME,15,ESPN,0,0
ATL,NYJ,Mon,PRIME,16,ESPN,0,0
ATL,NYJ,Mon,PRIME,2,ESPN,0,0
ATL,NYJ,Mon,PRIME,3,ESPN,0,1
ATL,NYJ,Mon,PRIME,4,ESPN,0,1
ATL,NYJ,Mon,PRIME,5,ESPN,0,1
ATL,NYJ,Mon,PRIME,6,ESPN,0,1
ATL,NYJ,Mon,PRIME,7,ESPN,0,0
ATL,NYJ,Mon,PRIME,8,ESPN,0,0
ATL,NYJ,Mon,PRIME,9,ESPN,0,0
ATL,SEA,Mon,PRIME,1,ESPN,0,0
ATL,SEA,Mon,PRIME,10,ESPN,0,0
ATL,SEA,Mon,PRIME,11,ESPN,0,1
ATL,SEA,Mon,PRIME,12,ESPN,0,1
ATL,SEA,Mon,PRIME,13,ESPN,0,1
ATL,SEA,Mon,PRIME,14,ESPN,0,1
ATL,SEA,Mon,PRIME,15,ESPN,0,1
ATL,SEA,Mon,PRIME,16,ESPN,0,0
ATL,SEA,Mon,PRIME,2,ESPN,0,0
ATL,SEA,Mon,PRIME,3,ESPN,0,0
ATL,SEA,Mon,PRIME,4,ESPN,0,1
ATL,SEA,Mon,PRIME,5,ESPN,0,0
ATL,SEA,Mon,PRIME,6,ESPN,0,1
ATL,SEA,Mon,PRIME,7,ESPN,0,1
ATL,SEA,Mon,PRIME,8,ESPN,0,0
ATL,SEA,Mon,PRIME,9,ESPN,0,0
ATL,SEA,Sun,PRIME,1,NBC,0,0
ATL,SEA,Sun,PRIME,10,NBC,0,0
ATL,SEA,Sun,PRIME,11,NBC,0,0
ATL,SEA,Sun,PRIME,12,NBC,0,0
ATL,SEA,Sun,PRIME,13,NBC,0,0
ATL,SEA,Sun,PRIME,14,NBC,0,0
ATL,SEA,Sun,PRIME,15,NBC,0,0
ATL,SEA,Sun,PRIME,16,NBC,0,0
ATL,SEA,Sun,PRIME,17,NBC,0,0
ATL,SEA,Sun,PRIME,2,NBC,0,0
ATL,SEA,Sun,PRIME,3,NBC,0,0
ATL,SEA,Sun,PRIME,4,NBC,0,0
ATL,SEA,Sun,PRIME,5,NBC,0,0
ATL,SEA,Sun,PRIME,6,NBC,0,0
ATL,SEA,Sun,PRIME,7,NBC,0,0
ATL,SEA,Sun,PRIME,8,NBC,0,0
ATL,SEA,Sun,PRIME,9,NBC,0,0
ATL,SEA,Thu,PRIME,1,NBC,0,0
ATL,SEA,Thu,PRIME,12,NBC,0,0
ATL,TB,Mon,PRIME,1,ESPN,0,0
ATL,TB,Mon,PRIME,10,ESPN,0,1
ATL,TB,Mon,PRIME,11,ESPN,0,1
ATL,TB,Mon,PRIME,12,ESPN,0,1
ATL,TB,Mon,PRIME,13,ESPN,0,1
ATL,TB,Mon,PRIME,14,ESPN,0,1
ATL,TB,Mon,PRIME,15,ESPN,0,1
ATL,TB,Mon,PRIME,16,ESPN,0,0
ATL,TB,Mon,PRIME,2,ESPN,0,0
ATL,TB,Mon,PRIME,3,ESPN,0,1
ATL,TB,Mon,PRIME,4,ESPN,0,0
ATL,TB,Mon,PRIME,5,ESPN,0,0
ATL,TB,Mon,PRIME,6,ESPN,0,1
ATL,TB,Mon,PRIME,7,ESPN,0,1
ATL,TB,Mon,PRIME,8,ESPN,0,1
ATL,TB,Mon,PRIME,9,ESPN,0,1
ATL,TB,Thu,PRIME,1,NFL,0,0
ATL,TB,Thu,PRIME,10,NFL,0,0
ATL,TB,Thu,PRIME,11,NFL,0,0
ATL,TB,Thu,PRIME,12,NFL,0,0
ATL,TB,Thu,PRIME,13,NFL,0,0
