0,1,2,3,4,5,6,7
ARZ,LAR,Sun,EARLY,7,FOX,0,1
ARZ,LAR,Sun,EARLY,8,FOX,0,1
ARZ,LAR,Sun,EARLY,9,FOX,0,1
ARZ,LAR,Sun,INT,3,SPEC,0,1
ARZ,LAR,Sun,INT,4,SPEC,0,1
ARZ,PHI,Sun,EARLY,1,FOX,0,1
ARZ,PHI,Sun,EARLY,10,FOX,0,1
ARZ,PHI,Sun,EARLY,11,FOX,0,1
ARZ,PHI,Sun,EARLY,12,FOX,0,1
ARZ,PHI,Sun,EARLY,13,FOX,0,1
ARZ,PHI,Sun,EARLY,14,FOX,0,1
ARZ,PHI,Sun,EARLY,15,FOX,0,1
ARZ,PHI,Sun,EARLY,16,FOX,0,1
ARZ,PHI,Sun,EARLY,17,FOX,0,1
ARZ,PHI,Sun,EARLY,2,FOX,0,0
ARZ,PHI,Sun,EARLY,3,FOX,0,1
ARZ,PHI,Sun,EARLY,4,FOX,0,0
ARZ,PHI,Sun,EARLY,5,FOX,0,1
ARZ,PHI,Sun,EARLY,6,FOX,0,1
ARZ,PHI,Sun,EARLY,7,FOX,0,1
ARZ,PHI,Sun,EARLY,8,FOX,0,1
ARZ,PHI,Sun,EARLY,9,FOX,0,1
ARZ,SEA,Sun,DBLH,1,FOX,0,0
ARZ,SEA,Sun,DBLH,10,FOX,0,0
ARZ,SEA,Sun,DBLH,11,FOX,0,1
ARZ,SEA,Sun,DBLH,12,FOX,0,1
ARZ,SEA,Sun,DBLH,13,FOX,0,1
ARZ,SEA,Sun,DBLH,14,FOX,0,1
ARZ,SEA,Sun,DBLH,15,FOX,0,1
ARZ,SEA,Sun,DBLH,16,FOX,0,1
ARZ,SEA,Sun,DBLH,2,FOX,0,1
ARZ,SEA,Sun,DBLH,3,FOX,0,0
ARZ,SEA,Sun,DBLH,4,FOX,0,1
ARZ,SEA,Sun,DBLH,5,FOX,0,1
ARZ,SEA,Sun,DBLH,6,FOX,0,0
ARZ,SEA,Sun,DBLH,7,FOX,0,0
ARZ,SEA,Sun,DBLH,8,FOX,0,1
ARZ,SEA,Sun,DBLH,9,FOX,0,1
ARZ,SEA,Sun,LATE,1,FOX,0,0
ARZ,SEA,Sun,LATE,10,FOX,0,0
ARZ,SEA,Sun,LATE,11,FOX,0,1
ARZ,SEA,Sun,LATE,12,FOX,0,1
ARZ,SEA,Sun,LATE,13,FOX,0,1
ARZ,SEA,Sun,LATE,14,FOX,0,1
ARZ,SEA,Sun,LATE,15,FOX,0,1
ARZ,SEA,Sun,LATE,16,FOX,0,1
ARZ,SEA,Sun,LATE,17,FOX,0,1
ARZ,SEA,Sun,LATE,2,FOX,0,1
ARZ,SEA,Sun,LATE,3,FOX,0,0
ARZ,SEA,Sun,LATE,4,FOX,0,1
ARZ,SEA,Sun,LATE,5,FOX,0,1
ARZ,SEA,Sun,LATE,6,FOX,0,0
ARZ,SEA,Sun,LATE,7,FOX,0,0
ARZ,SEA,Sun,LATE,8,FOX,0,1
ARZ,SEA,Sun,LATE,9,FOX,0,1
ARZ,SEA,Thu,PRIME,1,NFL,0,0
ARZ,SEA,Thu,PRIME,10,NFL,0,0
ARZ,SEA,Thu,PRIME,11,NFL,0,0
ARZ,SEA,Thu,PRIME,12,NFL,0,0
ARZ,SEA,Thu,PRIME,13,NFL,0,0
ARZ,SEA,Thu,PRIME,14,NFL,0,0
ARZ,SEA,Thu,PRIME,15,NFL,0,0
ARZ,SEA,Thu,PRIME,16,NFL,0,0
ARZ,SEA,Thu,PRIME,2,NFL,0,0
ARZ,SEA,Thu,PRIME,3,NFL,0,0
ARZ,SEA,Thu,PRIME,4,NFL,0,0
ARZ,SEA,Thu,PRIME,5,NFL,0,0
ARZ,SEA,Thu,PRIME,6,NFL,0,0
ARZ,SEA,Thu,PRIME,7,NFL,0,0
ARZ,SEA,Thu,PRIME,8,NFL,0,0
ARZ,SEA,Thu,PRIME,9,NFL,0,0
ARZ,SF,Sun,LATE,1,FOX,0,1
ARZ,SF,Sun,LATE,10,FOX,0,1
